Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
6.395040989,765.5427556,9.429060936
6.797101021,927.2075123,4.961769104
6.920464993,980.5831564,358.1897888
6.278329849,721.977722,351.8651123
6.682812214,879.3775226,2.56614089
6.721062183,895.2150304,7.876725197
7.131796837,1076.439327,14.10332012
6.148598194,675.2752484,20.33539009
6.896099091,969.8939666,21.0418396
6.926294804,983.1515252,22.93596077
6.567954063,832.8293134,33.37145996
6.398931026,767.0202867,32.30049896
5.446605206,453.7702746,30.16810989
5.108693123,363.1576895,27.08235931
5.232514858,395.2422704,22.60456085
4.243929863,169.6759343,30.59626007
4.137093067,148.8807431,32.78860855
4.160939217,153.4730055,30.18254089
4.124106884,146.3914796,31.8532505
4.126059055,146.7651643,26.32125092
4.204703808,161.9741682,25.67859077
4.355268002,191.9770866,27.08256912
3.952167034,118.99911,36.21786118
4.434104919,208.1806792,29.74682045
3.678040981,74.47647719,25.84374046
4.063600063,134.8987308,21.24472046
5.488460064,465.6863498,17.45406914
5.625834942,505.9375911,12.99639034
5.394489765,439.1538423,12.51430988
5.4572649,456.7899831,12.40832996
5.450904846,454.9870522,15.87475014
4.76416111,280.1054557,9.024561882
4.101181984,142.0168107,7.712677002
3.941123009,116.9729377,7.581837177
3.87789607,105.7487951,11.42055988
3.836927891,98.81755605,29.3313694
4.130588055,147.6328107,25.04413033
4.081981182,138.371917,24.68565941
3.839956999,99.32084475,24.07126999
3.975877047,123.4149463,23.42119026
3.820688963,96.14447672,39.26622009
3.98053503,124.2930366,52.09212112
4.142834187,149.9838297,52.06705093
3.929188967,114.8054178,52.53002167
3.227394104,27.41325761,62.52310944
2.693974972,0,63.97663116
3.76078701,86.64893432,72.28019714
3.734816074,82.71048743,69.53996277
3.310203075,33.62457425,74.86411285
2.853812933,0,85.75393677
2.664561987,0,84.46118164
3.140161991,22.05681442,92.12463379
2.632610083,0,101.8510971
1.738193035,0,99.7596817
1.935835004,0,75.03088379
1.757176995,0,73.65454865
1.542072058,0,65.50054169
1.623093009,0,53.91765976
2.062084913,0,44.93912125
2.059083939,0,40.33227158
2.153846025,0,36.03804016
2.047363997,0,56.5520401
1.635233045,0,65.39498138
0.838681579,0,64.3360672
1.287089944,0,30.20119095
1.370728016,0,24.33827972
2.464360952,0,307.5815125
3.067440033,18.5219337,308.2029114
2.977355957,0,307.5805969
